ems_no,fac_name,county_name,document_no,transgress_date,transgress_law,penalty_money,penalty_date,ispetition,petition_results,appeal_or_rescind,transgress_type,fac_address,transgress_name,openinfor,lawsuit_date_1,illegal_money,track_illegal_money,petition_agency,ban,transgress_address,subject,gist_define,improve_deadline,inspection_condition,transgress_control_id,is_improve,inspection_datetime_s,penaltykind,isimportant,paymentstate,isreminder,isadmincourt,isreducemoney,allow_rework_date,fac_city_code,fac_area_code,transgress_city_code
E56A1590,聯運交通企業股份有限公司,高雄市,21-115-030776,2026-01-02,空氣污染防制法第40條第3項,2600,2026-03-10,0,,,移動污染,高雄市小港區崇本街八二巷二號,聯運交通企業股份有限公司,車輛KNB-9302號進入本市第二期空氣品質維護區所劃設之管制範圍，經查於稽查日前已逾二年未有排煙合格紀錄，且未於第一次裁處期限30日內完成檢驗。,,0,0,,81033136,高雄市小港區第六貨櫃中心,罰鍰新臺幣2600元整，並限期於115年4月15日前至柴油車排煙檢測站檢驗合格。屆期未改善完成，將按次處罰。,違反空氣污染防制法第40條第3項之規定，並依空氣污染防制法第76條第2項裁處。,,,E56A1590,不須改善,,罰鍰(非連續處罰),否,尚未繳款,是,否,,,64000,64000110,64000
J55097026096,菖碩工程有限公司,新竹縣,40-115-040003,2026-03-03,廢棄物清理法第31條第1項第2款,6000,2026-04-07,0,,,事業廢棄物,新竹縣竹北市新國里新光一街七八號八樓,菖碩工程有限公司-成睿建築股份有限公司店鋪拆除工程-(114)府拆字第00062號,查貴公司承攬**股份有限公司店鋪拆除工程，該工程屬環境部公告「應檢具事業廢棄物清理計畫書」之建築拆除業，應檢具事業廢棄物清理計畫書送主管機關審查核准後，始得營運；惟經本局115年3月3日稽查貴公司本案工程已完工，貴公司於工程施工期間未以網路傳輸方式向主管機關申報廢棄物流向，已違反廢棄物清理法第31條條第2款規定。,,0,0,,53863379,新竹縣竹北市豆子埔段八○九之一地號,罰鍰新臺幣6000元整。處環境講習1小時整。,違反廢棄物清理法第31條第1項第2款之規定，並依廢棄物清理法第52條裁處。依環境教育法第23條第2款之規定裁處環境講習,,,J55D6607,不須改善,,罰鍰(非連續處罰),否,無分期已繳清,否,否,,,10004,10004010,10004
F06097052205,好康福祉租賃車有限公司,新北市,41-115-050996,2026-03-17,廢棄物清理法第27條第1款,1200,2026-05-22,0,,,一般廢棄物,新北市新莊區新泰路五○二巷六號二樓,好康福祉租賃車有限公司,貴公司所屬車輛（車號：RFW-2***）駕駛隨地拋棄一般廢棄物(隨身垃圾)，致污染環境。,,0,0,,60697935,新北市新莊區中平路14號,罰鍰新臺幣1200元整。,違反廢棄物清理法第27條第1款規定，並依廢棄物清理法第50條第3款及違反廢棄物清理法罰鍰額度裁罰準則第2條第1項第1款規定裁處。,,,F06097052205,不須改善,,罰鍰(非連續處罰),否,尚未繳款,否,否,,,65000,65000050,65000
A36097021572,嘉里大榮物流股份有限公司,苗栗縣,21-115-030259,2026-02-26,空氣污染防制法第40條第3項,2600,2026-03-17,0,,,移動污染,臺北市中正區新生南路一段五○號一四樓,嘉里大榮物流股份有限公司,貴公司所有車輛(車號：KLA-1921)前於114年10月29日行經本縣第三期空氣品質維護區（竹南科學園區），經查該車輛出廠滿三年且一年內未經任一縣市環境保護局排煙檢驗合格，業經本府裁處並限期於文到30日內改善完成在案。惟該車輛屆期仍未完成檢驗，再次於115年2月26日進入本縣第三期空氣品質維護區（竹南科學園區）。,,0,0,,51015548,苗栗縣竹南鎮竹南科學園區(第三期空氣品質維護區),罰鍰新臺幣2600元整。,違反空氣污染防制法第40條第3項之規定，並依空氣污染防制法第76條第2項裁處。,,,A36097021572,不須改善,,罰鍰(非連續處罰),否,無分期已繳清,是,否,,,63000,63000050,10005
D14099016949,駿豪通運有限公司,新北市,21-115-019451,2025-10-02,空氣污染防制法第40條第3項,2000,2026-01-23,0,,,移動污染,臺南市永康區龍埔里龍中街三九五之一號一樓,駿豪通運有限公司,車輛(車號:973-**)行經本市公告之空氣品質維護區，惟查該車輛未有一年內排煙檢驗合格紀錄。,,0,0,,45044307,新北市八里區臺61線西濱快速道路16.4K處(往林口),罰鍰新臺幣2000元整。,違反空氣污染防制法第40條第3項規定及新北市政府112年2月17日新北府環空字第1120243787號公告事項二、(一)規定，爰依空氣污染防制法第76條第2項暨移動污染源違反空氣污染防制法裁罰準則第2條規定裁處。,,,D14099016949,不須改善,,罰鍰(非連續處罰),否,無分期已繳清,否,否,,,67000,67000310,65000
L9104909,群億彩藝股份有限公司,臺中市,20-115-040001,2026-01-28,空氣污染防制法第24條第2項,100000,2026-04-01,0,,,固定空污,臺中市梧棲區經一路三八號,群億彩藝股份有限公司二廠,"查貴公司二廠領有本局核發固定污染源操作許可證-凹版印刷作業程序（M01，中市府環空操證字第1215-03號），環境部環境管理署於115年1月28日督察時印刷機(E001、E002)及貼合機(E003、E004)製程運作中，惟檢視其空氣污染防制設備觸媒焚化爐(A001)監測儀表顯示廢氣處理量為10,948m3/hr，與固定污染源操作許可證核定範圍不符（許可核定範圍:30,000~64,020m3/hr），未依固定污染源操作許可證內容進行操作，核已違反空氣污染防制法第24條第2項規定。
另貴公司於115年3月16日提送改善完成證明文件，本局爰認定改善完成。",,0,0,,22686461,臺中市龍井區忠和里臨港路二段八二之二號,罰鍰新臺幣100000元整，處環境講習2小時整。處環境講習2小時整。,"違反空氣污染防制法第24條第2項之規定裁處如下：
一、依空氣污染防制法第62條第1項第5款暨公私場所固定污染源違反空氣污染防制法應處罰鍰額度裁罰準則規定裁處罰鍰。
二、依環境教育法第23條之規定裁處環境講習。依環境教育法第23條第2款之規定裁處環境講習",,,B0202999,不須改善,,罰鍰(非連續處罰),否,無分期已繳清,否,否,,,66000,66000140,66000
H47097011703,立信運通有限公司,臺北市,21-115-020339,2025-08-11,空氣污染防制法第40條第3項,1000,2026-02-02,0,,,移動污染,桃園市大園區新興路二一一號,立信運通有限公司,柴油車未取得有效期限之優級或同等級以上自主管理標章，進入本市空氣品質維護區。(移動污染源類型A=2，違規情節B=1，得加重或減輕裁罰事項C=),,0,0,,53426928,臺北市中山區松江路82號前(新生南路至松江路南北向車道),罰鍰新臺幣1000元整。,違反空氣污染防制法第40條第3項之規定，並依空氣污染防制法第76條第2項裁處。,,,H47097011703,不須改善,,罰鍰(非連續處罰),否,無分期已繳清,是,是,,,68000,68000060,63000
E22100007062,勝發通運有限公司,高雄市,21-115-010387,2025-11-21,空氣污染防制法第40條第3項,2000,2026-01-26,0,,,移動污染,高雄市仁武區新龍街四八號,勝發通運有限公司,車輛139-AI號進入本市第二期空氣品質維護區所劃設之管制範圍，經查於稽查日前已逾二年未有排煙合格紀錄。,,0,0,,70598945,高雄市前鎮區第二貨櫃中心63碼頭管制站,罰鍰新臺幣2000元整，並限期於115年3月5日前至柴油車排煙檢測站檢驗合格。屆期未改善完成，將按次處罰。,違反空氣污染防制法第40條第3項之規定，並依空氣污染防制法第76條第2項裁處。,,,E22100007062,不須改善,,罰鍰(非連續處罰),否,無分期已繳清,否,否,,,64000,64000170,64000
J61097001880,新竹物流股份有限公司,新北市,21-115-040556,2025-02-20,空氣污染防制法第40條第3項,2000,2026-04-14,0,,,移動污染,新竹縣新豐鄉松柏村德昌街二二八號,新竹物流股份有限公司,車輛(車號:KLJ-****)行經本市公告之空氣品質維護區，惟查該車輛未有一年內排煙檢驗合格紀錄。,,0,0,,46480100,新北市八里區臺61線西濱快速道路16.4K處(往林口),罰鍰新臺幣2000元整。,違反空氣污染防制法第40條第3項及新北市政府112年2月17日新北府環空字第1120243787號公告事項二、(一)規定，爰依空氣污染防制法第76條第2項暨移動污染源違反空氣污染防制法裁罰準則第2條附表一項次七規定裁處。,,,J61097001880,不須改善,,罰鍰(非連續處罰),否,無分期已繳清,否,否,,,10004,10004060,65000
B88100002940,大甲汽車貨運股份有限公司,苗栗縣,21-115-040366,2026-03-21,空氣污染防制法第40條第3項,2000,2026-04-22,0,,,移動污染,臺中市大甲區江南里經國路一六八九巷三號,大甲汽車貨運股份有限公司,貴公司所有車輛(車號：KLF-5592)於115年3月21日行經本縣烏眉國民中學空氣品質維護區，經查該車輛出廠滿三年且一年內未經任一縣市環境保護局排煙檢驗合格。,,0,0,,56008503,苗栗縣通霄鎮烏眉路(烏眉國民中學空氣品質維護區),罰鍰新臺幣2000元整。,違反空氣污染防制法第40條第3項之規定，並依空氣污染防制法第76條第2項裁處。,,,B88100002940,不須改善,,罰鍰(非連續處罰),否,無分期已繳清,否,否,,,66000,66000110,10005
I26097028824,正合企業,嘉義市,21-115-020547,2026-01-15,空氣污染防制法第36條第1項,3000,2026-02-24,0,,,移動污染,嘉義市西區湖邊里友忠路八六二號一樓,正合企業,貴企業所有自用小貨車（車號：4*32-*L）經嘉義市政府環境保護局路邊攔檢，檢驗不透光率達2.0m-1，超過排放標準1.2m-1。,,0,0,,47858460,嘉義市世賢路二段196巷口旁,罰鍰新臺幣3000元整。限改日期：115年04月28日。,違反空氣污染防制法第36條第1項之規定，並依空氣污染防制法第66條第1項第1款裁處。,2026-04-28,,I26097028824,已改善完成,,罰鍰(非連續處罰)，限期改善,否,無分期已繳清,否,否,,,10020,10020000,10020
N19097006833,文裕車業有限公司,南投縣,40-115-050004,2026-04-10,廢棄物清理法第28條第1項,12000,2026-05-20,0,,,事業廢棄物,彰化縣花壇鄉長沙村中正東街二一巷二八號一樓,文裕車業有限公司,"1.有關中寮鄉先驅段796地號土地遭棄置汽車零件一案。
2.車業有限公司)於115年04月10日10時00分至本局說明，經本局出示佐證資料後，表示汽車零件原本請員工載運至台中至中投西路弘裕回收廠，因115年2月15日當天回收場沒營業，本公司員工家住信義，行逕本案地點，看見有放子母車，以為可以放置上述廢棄物，該行為已違反廢棄物清理法第28條規定。",,0,0,,53493974,南投縣中寮鄉先驅段796地號,罰鍰新臺幣12000元整。限改日期：115年05月20日。處環境講習2小時整。,違反廢棄物清理法第28條第1項之規定，並依廢棄物清理法第52條裁處。依環境教育法第23條第2款之規定裁處環境講習,2026-05-20,,N19097006833,已改善完成,,罰鍰(非連續處罰),否,尚未繳款,否,否,,,10007,10007080,10008
T53A0357,鈞益畜牧場,屏東縣,20-115-050054,2026-01-06,空氣污染防制法第28條第1項,100000,2026-03-24,0,,,固定空污,屏東縣萬巒鄉溪寮路一之六號,鈞益畜牧場,"1.本日為聯合稽查。 2.該場領有固定污染源燃料使用許可證(鍋爐蒸氣產生程序M01)，有效期限114年10月20日至116年10月19日。 3.稽查時洗滌塔流量計漆黑無法辨識，業者無法現場提供廢木材每日使用量，洗滌塔每日用水量，洗滌塔每日洗滌液流率。 4.稽查時污染源鍋爐運作中，惟鍋爐側上方開啟為密閉，有明顯空氣污染物粒狀物逸散中。 5.上述事項未依燃料使用許可操作，已違反空氣污染防制法第28條規定，後續將依法進行告發。",,0,0,,,屏東縣萬巒鄉溪寮路一之六號,罰鍰新臺幣100000元整。限改日期：115年04月30日。處環境講習2小時整。,違反空氣污染防制法第28條第1項之規定，並依空氣污染防制法第64條第1款裁處。依環境教育法第23條第2款之規定裁處環境講習,2026-04-30,,T53A0357,待改善,,罰鍰(非連續處罰)，限期改善,否,尚未繳款,否,否,,,10013,10013120,10013
H43097042320,信鴻交通有限公司,新北市,21-115-017789,2025-03-01,空氣污染防制法第40條第3項,2000,2026-01-21,0,,,移動污染,桃園市中壢區高鐵站前西路一段二一二號一一樓,信鴻交通有限公司,車輛(車號:***-****)行經本市公告之空氣品質維護區，惟查該車輛未有一年內排煙檢驗合格紀錄。,,0,0,,83776844,新北市板橋區漢生東路46號對面,罰鍰新臺幣2000元整。,違反空氣污染防制法第40條第3項規定及新北市政府113年12月9日新北府環空字第1132406904號公告事項二、(一)規定，爰依空氣污染防制法第76條第2項及移動污染源違反空氣污染防制法裁罰準則第2條附表一項次七規定裁處。,,,H43097042320,不須改善,,罰鍰(非連續處罰),否,無分期已繳清,否,否,,,68000,68000020,65000
A38097024262,殼郁水電工程有限公司,臺北市,22-115-050246,2026-04-14,噪音管制法第8條第4款,6000,2026-05-26,0,,,噪音污染,臺北市大同區民族西路一八三號,殼郁水電工程有限公司-114年度南區路燈新設預約工程,營建工程於本市第四類噪音管制區晚上10時至翌日上午8時，經目的事業主管機關核准從事施工，但未依規定於施工現場設置噪音防制設施(包含隔音布、消音屋、防振襯墊、隔音罩或其他具有減音功能之設施)。(工程名稱:114年度南區路燈新設預約工程)(屬噪音管制區劃定作業準則之夜間時段),,0,0,,22434748,臺北市信義區基隆路1段156號1樓前,罰鍰新臺幣6000元整。處環境講習2小時整。,違反噪音管制法第8條第4款之規定，並依噪音管制法第23條裁處。依環境教育法第23條第2款之規定裁處環境講習,,,A38097042322,不須改善,,罰鍰(非連續處罰),否,尚未繳款,否,否,,,63000,63000060,63000
